neck-side	Neck side stretch. Ear to the shoulder. Slow, now.
wrist-floor	Kneeling wrist stretch. Palms down. Those hands earned this.
childs-pose	Child's pose. Sit back on the heels. Be cool and breathe.
thread-needle	Thread the needle. Run that arm underneath. All the way through.
ankle-rock	Half-kneeling ankle rock. Drive that knee past the toes. I dare you.
hip-flexor-lunge	Kneeling hip flexor lunge. Tuck the hips. There it is.
quad-kneel	Kneeling quad stretch. Heel to the seat. Breathe through it.
pigeon	Pigeon stretch. Shin across the front. Sink on down.
frog	Frog stretch. Knees out wide. Rock it back, nice and slow.
ninety-ninety	Ninety ninety hip stretch. Both knees bent. Sit up tall.
seated-fold	Seated forward fold. Long legs, fold on over. No bouncing.
sphinx	Sphinx. Up on the elbows. Open that chest up.
supine-twist	Supine spinal twist. On your back, knees across. Let it all go.
warmup-march	March in place. Knees up. Get that blood moving.
warmup-squat	Bodyweight squat pulses. Stay down low and keep bouncing.
warmup-arm-circle	Arm circles. Both directions. Big and loose.
warmup-leg-swing	Leg swings. Front to back. Stay tall.
deep-squat-hold	Deep squat hold. All the way down. Sit in it.
cossack-squat	Cossack squat. Shift across. As deep as you got.
ninety-ninety-liftoff	Ninety ninety lift-off. Small range. Lift that knee.
glute-bridge-single	Single-leg glute bridge. One foot down. Drive them hips up.
copenhagen	Copenhagen plank. Top leg on the chair. Hold it right there.
single-leg-rdl	Single-leg Romanian deadlift. Hinge back slow. Control it.
jefferson-curl	Jefferson curl. Roll down one bone at a time.
thoracic-press-up	Prone thoracic press-up. Press that chest up off the floor.
wall-slide	Scapular wall slide. Arms up the wall. Keep them touching.
dead-hang	Dead hang. Grab that bar and hang. Do not let go.
neck-isometric	Neck isometrics. Push into the hand. Eight seconds.
bear-crawl	Bear crawl. Hips low. Forward and back.
side-plank	Side plank. Up on the elbow. Hold that line.
pull-up	Pull-ups. Full hang, chest to the bar. No kipping.
archer-press-up	Archer press-ups. Weight over the bending arm. Hips level.
kb-getup	Turkish get-up. Eyes on that bell. Do not lose the shoulder.
split-squat	Bulgarian split squat. Back foot up. Shin stays upright.
hanging-leg-raise	Hanging leg raises. Curl the pelvis. No swinging.
inverted-row	Inverted rows. Body in one line. Pull.
pike-press-up	Pike press-ups. Hips high. Crown to the floor.
hollow-hold	Hollow body hold. Low back pressed flat. Do not quit on me.
kb-swing	Kettlebell swings. Snap them hips. Let it float.
wu-press-ups	Press-ups. Ten of them. Chest all the way to the floor.
countdown	Three. Two. One. Show me something.
rest-over-1	Rest is over. Back to work.
rest-over-2	That is enough sitting around. Up.
rest-over-3	Time is up. Let's go.
rest-over-4	Break is done. Move it.
rest-over-5	Rest is over. I am not asking twice.
other-side-1	Now the other side.
other-side-2	Switch it. Other side.
other-side-3	Other side. Go.
other-side-4	Change sides. Right now.
other-side-5	Now the other one.
other-side-6	Flip it over.
hype-1	Enough with these motherfucking reps on this motherfucking mat.
hype-2	Hold onto your butts.
hype-3	Say you are done again. I dare you. I double dare you.
hype-4	That right there is the path of the righteous man. Keep going.
hype-5	I am trying real hard to be the shepherd. Finish the set.
hype-6	Yes it hurts. And yes, you are going to finish it.
hype-7	Now that is a tasty burger. Go on and earn it.
hype-8	Keep moving, because I will not be repeating myself.
hype-9	Your deepest fear is not that you are weak. Go.
hype-10	English. Do you speak it. Then push.
finish-1	Session complete. That is how it is done.
finish-2	Done. Now go and eat a tasty burger.
finish-3	Workout is over. You did that.
finish-4	Finished. Get on out of here.
finish-5	That is a wrap. Respect.
