deep-squat-hold	0.260	3.500	3.24	Deep squat hold. All the way down. Sit in it.	each squad home although we did sitting
cossack-squat	4.480	8.280	3.80	Cossack squat. Shift across. As deep as you got.	have said squad shipped across as deep as you got
ninety-ninety-liftoff	9.100	13.760	4.66	Ninety ninety lift-off. Small range. Lift that knee.	ninety nine lift off small range live then effect
glute-bridge-single	14.600	18.620	4.02	Single-leg glute bridge. One foot down. Drive them hips up.	single leg glue bridge one foot down robin hood so
copenhagen	19.600	23.000	3.40	Copenhagen plank. Top leg on the chair. Hold it right there.	copenhagen play how they glitches what right did
single-leg-rdl	24.580	28.760	4.18	Single-leg Romanian deadlift. Hinge back slow. Control it.	single leg romanian deadly and back slow controlled
jefferson-curl	29.580	32.940	3.36	Jefferson curl. Roll down one bone at a time.	jefferson car roll down one by an avatar
thoracic-press-up	33.820	37.920	4.10	Prone thoracic press-up. Press that chest up off the floor.	for a thoracic press prestigious step off the floor
wall-slide	38.820	43.920	5.10	Scapular wall slide. Arms up the wall. Keep them touching.	scat bugle slower i'm subbed way he didn't touch a good
dead-hang	44.500	47.780	3.28	Dead hang. Grab that bar and hang. Do not let go.	read the bar in haiti not lego fat boy
neck-isometric	48.600	52.720	4.12	Neck isometrics. Push into the hand. Eight seconds.	make up some metrics bush into the hay eight seconds
bear-crawl	53.940	56.920	2.98	Bear crawl. Hips low. Forward and back.	a a crow it's low or it can bet
side-plank	57.780	60.580	2.80	Side plank. Up on the elbow. Hold that line.	sadly on the job hold that no
pull-up	61.380	65.540	4.16	Pull-ups. Full hang, chest to the bar. No kipping.	bullets oh hey just to the bar no kidding bitch
archer-press-up	66.300	70.560	4.26	Archer press-ups. Weight over the bending arm. Hips level.	archer press ups we all would have been bingo it's level bitch
kb-getup	71.480	75.260	3.78	Turkish get-up. Eyes on that bell. Do not lose the shoulder.	turkey's good eyes on that bed not lose to show
split-squat	76.680	81.280	4.60	Bulgarian split squat. Back foot up. Shin stays upright.	oh gary and split squat that would shane stay sober
hanging-leg-raise	82.240	85.760	3.52	Hanging leg raises. Curl the pelvis. No swinging.	hanging leg raises for all the pelvis no swing
inverted-row	86.580	90.300	3.72	Inverted rows. Body in one line. Pull.	important role body of one hold it
pike-press-up	91.100	94.220	3.12	Pike press-ups. Hips high. Crown to the floor.	i press ups it's high ground to the floor
hollow-hold	95.140	99.840	4.70	Hollow body hold. Low back pressed flat. Do not quit on me.	followed by the whole no bad press flat do not quit on
kb-swing	101.200	104.440	3.24	Kettlebell swings. Snap them hips. Let it float.	you know go swimming snap them hit that if low
wu-press-ups	105.520	110.340	4.82	Press-ups. Ten of them. Chest all the way to the floor.	recipe end of the just all the way to the floor or
countdown	110.920	113.040	2.12	Three. Two. One. Show me something.	two yeah show me some
rest-over-1	113.860	115.940	2.08	Rest is over. Back to work.	rest is all over back to were
rest-over-2	116.860	118.300	1.44	That is enough sitting around. Up.	that is an upset or
rest-over-3	119.840	121.940	2.10	Time is up. Let's go.	time is up the school bitch
rest-over-4	122.780	126.440	3.66	Break is done. Move it.	break is dawn move right
rest-over-5	126.740	129.280	2.54	Rest is over. I am not asking twice.	is over i am not asking twice
other-side-1	130.020	131.040	1.02	Now the other side.	now at the set
other-side-2	131.880	133.000	1.12	Switch it. Other side.	eight of us are
other-side-3	133.740	135.180	1.44	Other side. Go.	melissa go
other-side-4	136.340	138.880	2.54	Change sides. Right now.	chains that right now fat boy
other-side-5	139.640	140.760	1.12	Now the other one.	or you know the other way
other-side-6	141.540	142.580	1.04	Flip it over.	the good of the bow
hype-1	143.640	147.000	3.36	Enough with these motherfucking reps on this motherfucking mat.	enough with these mother afterwards on his mother bought him met bitch
hype-2	147.940	149.400	1.46	Hold onto your butts.	won't you fat
hype-3	150.660	153.780	3.12	Say you are done again. I dare you. I double dare you.	so you were gonna die i dare you had doubled to
hype-4	154.660	158.820	4.16	That right there is the path of the righteous man. Keep going.	that right is the path of the righteous man he go
hype-5	159.720	163.640	3.92	I am trying real hard to be the shepherd. Finish the set.	i'm trying real home to be the shop finish the set
hype-6	164.560	168.000	3.44	Yes it hurts. And yes, you are going to finish it.	yes it hurts and yes you are going to punish
hype-7	168.860	172.500	3.64	Now that is a tasty burger. Go on and earn it.	now then is it tasty burger gordon earn a bitch
hype-8	173.720	176.800	3.08	Keep moving, because I will not be repeating myself.	chico 'cause i would not be repeating or so
hype-9	177.780	182.080	4.30	Your deepest fear is not that you are weak. Go.	your deepest the year is not that you were we oh bitch
hype-10	182.920	185.520	2.60	English. Do you speak it. Then push.	english these big imports
finish-1	186.300	189.080	2.78	Session complete. That is how it is done.	session come to that is how would his death
finish-2	190.440	192.820	2.38	Done. Now go and eat a tasty burger.	no now go when needed tasty burger
finish-3	193.620	195.900	2.28	Workout is over. You did that.	forgot to school for you did
finish-4	196.800	198.320	1.52	Finished. Get on out of here.	and your money
finish-5	199.200	201.680	2.48	That is a wrap. Respect.	that is barbara spec bitch
